Station,Cruise,Lat,Lon,Date,Depth,Temp,Orthophosphate,NitratePlusNitrite,Nitrite,Silicate,Ammonium,Salinity,Nutricline_1uM_Interp,PAR_MODIS_9km_8d_umolm2d1,PAR_OASIM_1deg_Monthly_umolm2d1,KDPAR_MODIS_OS_9km_8d,MLD_HYCOM_9km_8d,MLPAR_MODIS_9km_8d_umolm2d1,MLPAR_OASIM_1deg_Monthly_umolm2d1,FeT_CESM2,HLI,HLII,HLIII.IV,LLI,LLII.III,LLIV,SCCG
IN150,I09N,4.51803333,90.86723,2016-04-14,7,31.1771,0.02,0,0,1.15,0.060362924,33.9326,61.25,538.77318287037,481.568806701236,0.061861478,38.398506,205.725910381553,183.882910879413,0.0005363206,0.00747511972186952,0.976111819008365,0.00533303129162427,0.00421002995574302,0.00612817928375371,0.000741820738644021,5.13097186589474
IN152,I09N,4.83345333,90.62174,2016-04-14,7,30.539,0.04,0,0,1.3,0.060362924,34.12045,56.85,557.548865740741,481.568806701236,0.061327465,31.764109,245.412357367449,211.968749914262,0.0005363206,0.00640792563651516,0.980186624490236,0.00441402772158229,0.00315368179746591,0.0053084363939623,0.000529303960238499,7.82559909438733
IN153,I09N,5.024525,90.47362,2016-04-14,7,30.717,0.06,0,0,1.4,0.057543464,34.2099,45.1,556.656342592593,545.477314005173,0.06219102,36.664326,219.161433944735,214.760133271653,0.0005352921,0.00661337382409257,0.97910149415224,0.00475398819254751,0.00341707367581315,0.00548056564670639,0.00063350450859989,6.27348347312922
IN158,I09N,5.91055333,89.628125,2016-04-15,7,31.069,0.035,0,0,1.15,0.082616195,33.97965,35.7,592.746909722222,480.249872423494,0.07400735,22.49802,288.649493308387,233.866900126771,0.00058157864,0.00645224934460262,0.978025218493113,0.00494505531484354,0.0038943560965415,0.00598992746064792,0.000693193290251032,6.28506915669606
IN160,I09N,6.20465167,89.5641867,2016-04-15,7,31.0171,0.04,0,0,1.2,0.082616195,34.114,45.7,625.879675925926,480.249872423494,0.07244152,25.473215,285.590997734381,219.139629393346,0.00058157864,0.00620641521077825,0.978928984535348,0.00489805580715294,0.00340986123569418,0.00603594373926058,0.000520739471765874,9.71438084420033
IN161,I09N,6.50151167,89.33943,2016-04-15,7,31.042,0.05,0,0,1.2,0.07838422,34.1357,50,599.575613425926,497.337118588357,0.06808694,33.222298,237.459685031494,196.968510543087,0.0006538637,0.00619219072213269,0.980274946889393,0.00453872034663171,0.00306128986393684,0.00535891940551646,0.000573932772388942,9.60078167455601
IN163,I09N,6.87310333,89.0547683,2016-04-15,7,30.7071,0.01,0,0,1.8,0.07838422,33.1173,40.1,595.967106481481,497.337118588357,0.070687085,25.967934,272.880911652297,227.720296712608,0.0006538637,0.0084332206745807,0.972278833034743,0.00628200976802316,0.00464215723724952,0.00756341659903908,0.000800362686364958,8.65822016768825
IN164,I09N,7.06215,88.908965,2016-04-15,7,31.0581,0.01,0,0,1.9,0.07838422,32.9252,41.9,643.883726851852,497.337118588357,0.06894944,22.27548,328.982071790497,254.106430754941,0.0006538637,0.00642994347983602,0.980920992424723,0.00437320675416836,0.00290194982280632,0.0048552490617126,0.000518658456753741,10.8827874764872
IN165,I09N,7.24105833,88.770695,2016-04-15,7,31.4442,0.01,0,0,2,0.07838422,32.7331,43.7,651.792685185185,497.337118588357,0.06648807,26.774899,304.401385339524,232.267270437456,0.0006538637,0.00771100907380931,0.976021115069489,0.00528568214968618,0.00379282299108478,0.00668588664890666,0.000503484067024005,5.12559416967285
IN166,I09N,7.470995,88.5924367,2016-04-15,7,31.3417,0.01,0,0,2.05,0.07838422,32.7047,44,646.57662037037,497.337118588357,0.06665913,27.948654,293.192426941166,225.5192535779,0.0006538637,0.00703880950213394,0.978259922435289,0.00481952522721758,0.00355257330041148,0.00566996459472607,0.00065920494022182,10.7400487122408
IN167,I09N,7.611185,88.4947133,2016-04-16,7,31.255,0.01,0,0,2.1,0.06342427,32.6763,44.3,650.812789351852,507.721935280066,0.066851676,25.089989,315.50036907176,246.132928835372,0.00067656615,0.00689652219496557,0.977759928584158,0.00490993852311085,0.00360675094528141,0.0061441647838844,0.000682694968599957,9.6090989146391
IN168,I09N,7.982885,88.2016617,2016-04-16,7,31.0432,0.01,0,0,2,0.06342427,32.9322,61.5,661.05193287037,507.721935280066,0.06477246,18.750826,382.714027273412,293.944086574797,0.00067656615,0.00578009862209992,0.982327314770415,0.00392495020411237,0.00293342260587233,0.00440197150453726,0.000632242292963094,10.6553087708788
